SNR,Sample_ID,GT_Vel_1,GT_Vel_2,Complex_Data
-20,1,4.0718184,10.293792,"[(0.007664838340133429-0.0006237925845198333j), (0.007752945646643639+0.0003990132245235145j), (0.009983791038393974+0.001736034289933741j), (0.008649487979710102+0.0031206891871988773j), (0.007677624002099037+0.0010689806658774614j), (0.00826161541044712+0.0015587493544444442j), (0.009842686355113983+0.0024061526637524366j), (0.008611748926341534+0.002976040355861187j), (0.008491029031574726+0.0039916266687214375j), (0.006908285431563854+0.003237497992813587j), (0.008323268964886665+0.0041121444664895535j), (0.0070100282318890095+0.0039953687228262424j), (0.006718338001519442+0.004660498350858688j), (0.006006700452417135+0.0044144135899841785j), (0.007554125506430864+0.004620318301022053j), (0.006743106059730053+0.005168172065168619j), (0.00588492676615715+0.005325863137841225j), (0.006518900394439697+0.005041949916630983j), (0.0046245865523815155+0.005334082059562206j), (0.005715501960366964+0.005580558441579342j)]"
-20,2,-4.853729,16.543758,"[(0.05119193717837334-0.00011736744636436924j), (0.05179622024297714+0.001630147686228156j), (0.05186315253376961+0.0024880236014723778j), (0.05143817141652107+0.0032296308781951666j), (0.05088792368769646+0.0014848593855276704j), (0.05130595341324806+0.004297063685953617j), (0.04781744256615639+0.004113716073334217j), (0.04790228232741356+0.0059510162100195885j), (0.047018155455589294+0.005097151733934879j), (0.04734380543231964+0.006657554302364588j), (0.04381340742111206+0.007435792125761509j), (0.044426098465919495+0.0076759615913033485j), (0.0426400750875473+0.008244907483458519j), (0.040076080709695816+0.006185990292578936j), (0.038298312574625015+0.00573360500857234j), (0.037248481065034866+0.008072173222899437j), (0.03551538661122322+0.007570209447294474j), (0.03378529101610184+0.00638243556022644j), (0.03131960704922676+0.00777497747913003j), (0.02888023853302002+0.004559394903481007j)]"
-20,3,-17.307203,28.985693,"[(0.026377715170383453+0.000889371323864907j), (0.027544356882572174+0.001370507525280118j), (0.02531968243420124+0.004783076234161854j), (0.024968458339571953+0.005134230479598045j), (0.02240797132253647+0.005622179713100195j), (0.021398043259978294+0.0082235811278224j), (0.019703170284628868+0.008612245321273804j), (0.016768470406532288+0.009634044952690601j), (0.013224254362285137+0.008519117720425129j), (0.011057857424020767+0.01075533963739872j), (0.00724636297672987+0.011575956828892231j), (0.005334179848432541+0.009712631814181805j), (0.0010519184870645404+0.010047507472336292j), (-0.0014502019621431828+0.010607828386127949j), (-0.004902457352727652+0.008371185511350632j), (-0.007801550440490246+0.0050439066253602505j), (-0.009590082801878452+0.005313369911164045j), (-0.013417157344520092+0.0011350265704095364j), (-0.01493612490594387+0.0014015050837770104j), (-0.01798837073147297-0.0032736530993133783j)]"
-20,4,-22.466269,15.629921,"[(0.020425735041499138+0.0022963080555200577j), (0.018197733908891678+0.0012772909831255674j), (0.019745230674743652+0.0020581362769007683j), (0.018791496753692627+0.0037824090104550123j), (0.01744662970304489+0.0030901029240339994j), (0.016698628664016724+0.001137633458711207j), (0.014570263214409351+0.0020979398395866156j), (0.014618714340031147+0.00254727597348392j), (0.013837789185345173+0.004903067369014025j), (0.012679379433393478+0.004037443548440933j), (0.011717208661139011+0.004217355512082577j), (0.010008575394749641+0.003666775533929467j), (0.008288917131721973+0.00361414416693151j), (0.006999806500971317+0.0056051695719361305j), (0.005288145039230585+0.002996184164658189j), (0.003636738285422325+0.004189751576632261j), (0.002244717674329877+0.005265670828521252j), (-4.760718729812652e-05+0.005189219489693642j), (-0.0033447113819420338+0.004581731278449297j), (-0.004265985451638699+0.006023033522069454j)]"
-20,5,19.02768,25.407988,"[(0.009472887963056564-0.001099269138649106j), (0.008806883357465267-0.0006920619634911418j), (0.009137043729424477+8.254718704847619e-05j), (0.008627191185951233+0.001804314088076353j), (0.007769469171762466+0.002654437441378832j), (0.00616750493645668+0.004134077578783035j), (0.007616853807121515+0.00520958611741662j), (0.007867734879255295+0.005328149534761906j), (0.0076714796014130116+0.005726904608309269j), (0.005628267303109169+0.005147206597030163j), (0.0056709409691393375+0.006227181758731604j), (0.006587435025721788+0.005419920198619366j), (0.0031997719779610634+0.007694315165281296j), (0.0035515083000063896+0.00658242916688323j), (0.0010066615650430322+0.007417458109557629j), (0.0022317194379866123+0.007837902754545212j), (0.001548496074974537+0.009091177023947239j), (-0.0003092163533437997+0.007735440973192453j), (-0.0011829420691356063+0.008669250644743443j), (-0.001160167157649994+0.007914820685982704j)]"
0,1,-20.36007,10.04888,"[(0.011496483348309994-5.084924850962125e-05j), (0.011326830834150314-0.00024212907010223716j), (0.011344234459102154-0.00048158757272176445j), (0.011164212599396706-0.0007449034019373357j), (0.01088922843337059-0.0009588694665580988j), (0.010728011839091778-0.0011705035576596856j), (0.010130602866411209-0.0013656581286340952j), (0.009703529998660088-0.0012806772720068693j), (0.009305255487561226-0.0014788155676797032j), (0.00873898807913065-0.0017328558024019003j), (0.008342847228050232-0.0015794405480846763j), (0.007448383141309023-0.0015651786234229803j), (0.006788601167500019-0.0013558455975726247j), (0.00631363270804286-0.00134667893871665j), (0.005413825623691082-0.001290060463361442j), (0.004751838278025389-0.001026675570756197j), (0.004000387154519558-0.000972748443018645j), (0.0033132529351860285-0.0005314730806276202j), (0.0023240295704454184-0.00023876564227975905j), (0.0015253304736688733+2.7451776986708865e-05j)]"
0,2,7.267914,24.628557,"[(0.0074193598702549934-2.67699288087897e-05j), (0.007444790098816156+0.0005884063430130482j), (0.007275452837347984+0.0010643096175044775j), (0.007350059226155281+0.0014842014061287045j), (0.007165917661041021+0.0020327242091298103j), (0.006885801441967487+0.0026103828568011522j), (0.006696593947708607+0.0030846691224724054j), (0.006259924732148647+0.00348656321875751j), (0.0059673963114619255+0.0037983341608196497j), (0.005433041136711836+0.004342485219240189j), (0.0052282135002315044+0.004493250045925379j), (0.00446928758174181+0.004775488283485174j), (0.004155685193836689+0.004987128544598818j), (0.003899164032191038+0.005150364246219397j), (0.003249021014198661+0.005188182462006807j), (0.0027086345944553614+0.005169644486159086j), (0.0022361264564096928+0.005259482655674219j), (0.001880914205685258+0.00514767412096262j), (0.0014562041033059359+0.005236251745373011j), (0.0010871782433241606+0.004983833059668541j)]"
0,3,-20.4088,-11.493702,"[(0.03927414119243622+2.5910469048540108e-05j), (0.03902255371212959-0.0028260978870093822j), (0.03885417431592941-0.005626488942652941j), (0.038252830505371094-0.008462603203952312j), (0.03733571246266365-0.011069181375205517j), (0.03650476410984993-0.013717751018702984j), (0.035460494458675385-0.016313673928380013j), (0.03392130136489868-0.018731815740466118j), (0.0323917381465435-0.021076055243611336j), (0.030771739780902863-0.02328602410852909j), (0.028969796374440193-0.025135260075330734j), (0.026853568851947784-0.02712647058069706j), (0.024580514058470726-0.028793230652809143j), (0.02256983332335949-0.030345719307661057j), (0.020283926278352737-0.031735893338918686j), (0.01767374575138092-0.032872799783945084j), (0.01539183035492897-0.033802811056375504j), (0.012577848508954048-0.03447284922003746j), (0.010250442661345005-0.03511057049036026j), (0.007536953780800104-0.03531939908862114j)]"
0,4,-1.0296913,26.90143,"[(0.011875899508595467+0.0002411460445728153j), (0.01159402634948492+0.0004582911788020283j), (0.011666321195662022+0.0005799224600195885j), (0.011735287494957447+0.0006588161340914667j), (0.011314564384520054+0.0008851992315612733j), (0.011316311545670033+0.0009655921021476388j), (0.011235876940190792+0.0010437251767143607j), (0.011101098731160164+0.0012180472258478403j), (0.010646466165781021+0.0012627567630261183j), (0.01061191689223051+0.0013477398315444589j), (0.010390195064246655+0.0013882527127861977j), (0.010123884305357933+0.0013486118987202644j), (0.009929756633937359+0.0012282514944672585j), (0.009700900875031948+0.0011503496207296848j), (0.009529005736112595+0.0009498994331806898j), (0.009200958535075188+0.0008537908433936536j), (0.00898692850023508+0.0007103544194251299j), (0.008937053382396698+0.0005163916503079236j), (0.008681060746312141+0.0003352990315761417j), (0.008615371771156788+7.04007688909769e-05j)]"
0,5,1.6405445,3.9000964,"[(0.06723784655332565-6.290664168773219e-05j), (0.06713563203811646+0.0011196692939847708j), (0.06720299273729324+0.002184248296543956j), (0.06726708263158798+0.003373479237779975j), (0.06711259484291077+0.0043529667891561985j), (0.0669359564781189+0.005473727826029062j), (0.06694633513689041+0.006671295501291752j), (0.06674035638570786+0.007655502296984196j), (0.06668314337730408+0.009005637839436531j), (0.06658105552196503+0.00982288084924221j), (0.06627850979566574+0.010926751419901848j), (0.06611549109220505+0.012003650888800621j), (0.06577781587839127+0.013076761737465858j), (0.06560136377811432+0.014243021607398987j), (0.06534460932016373+0.015187656506896019j), (0.06524822860956192+0.01619081012904644j), (0.06467314809560776+0.01742575876414776j), (0.0645475834608078+0.018464181572198868j), (0.06404507905244827+0.019398465752601624j), (0.06359051913022995+0.020475467666983604j)]"
